,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5074,,2015,18.712907182000002
5075,,2016,18.728736925499998
5076,,1990,16.076187529200002
5077,,1991,16.0800102177
5078,,1992,16.0890435133
5079,,1993,16.0960993991
5080,,1994,16.0991601805
5081,,1995,16.1141064447
5082,,1996,16.1160217933
5083,,1997,16.1296962846
5084,,1998,16.1408902409
5085,,1999,16.153297295799998
5086,,2000,16.1730853816
5087,,2001,16.1641403878
5088,,2002,16.1675642929
5089,,2003,16.1650392855
5090,,2004,16.166225336700002
5091,,2005,16.1676369999
5092,,2006,16.1204867955
5093,,2007,16.0703099996
5094,,2008,16.026476394899998
5095,,2009,15.9809976006
5096,,2010,15.940242551199999
5097,,2011,15.9135935458
5098,,2012,15.8964849012
5099,,2013,15.8796764427
5100,,2014,15.8651669147
5101,,2015,15.8478083618
5102,,2016,15.839222120599999
5103,ESP,1990,18.2421077952
5104,ESP,1991,18.1962128507
5105,ESP,1992,18.1479443375
5106,ESP,1993,18.1125813741
5107,ESP,1994,18.059102571500002
5108,ESP,1995,18.024562982
5109,ESP,1996,18.003353008199998
5110,ESP,1997,17.970856241099998
5111,ESP,1998,17.9504946555
5112,ESP,1999,17.9219278558
5113,ESP,2000,17.8972797401
5114,ESP,2001,17.9050449084
5115,ESP,2002,17.922978146
5116,ESP,2003,17.9305287741
5117,ESP,2004,17.950507796500002
5118,ESP,2005,17.9614826476
5119,ESP,2006,18.0217855885
5120,ESP,2007,18.0948358661
5121,ESP,2008,18.1446177974
5122,ESP,2009,18.212468788
5123,ESP,2010,18.2766962729
5124,ESP,2011,18.2872898704
5125,ESP,2012,18.295765948699998
5126,ESP,2013,18.3131110255
5127,ESP,2014,18.3152565274
5128,ESP,2015,18.334462522
5129,ESP,2016,18.3479910217
5130,LKA,1990,14.187784014400004
5131,LKA,1991,14.197967874699998
5132,LKA,1992,14.2070998071
5133,LKA,1993,14.228820808499998
5134,LKA,1994,14.243107998800001
5135,LKA,1995,14.2589558415
5136,LKA,1996,14.219031901300001
5137,LKA,1997,14.1657732242
5138,LKA,1998,14.1280611098
5139,LKA,1999,14.088032368299999
5140,LKA,2000,14.0521959778
5141,LKA,2001,14.015424877100001
5142,LKA,2002,13.971151163800002
5143,LKA,2003,13.941375060899999
5144,LKA,2004,13.9043365174
5145,LKA,2005,13.8723203075
5146,LKA,2006,13.8592520806
5147,LKA,2007,13.8389095784
5148,LKA,2008,13.821258321499998
5149,LKA,2009,13.807953157899997
