country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
PRT,5.12691164,10.16676331,0.86182946,71.10689545,0.846810102,-0.133559808,0.94107008,0.705072284,0.357692271,0.227394462,0.956860006,0.955930233,2.364469528,0.461187869,0.356,0.367,0.44026351
ROU,5.726893425,9.886694908,0.75294137,66.85708618,0.754235506,-0.106183335,0.95832473,0.654498339,0.330687732,0.243379444,0.238631472,0.152024388,2.362050772,0.412448883,,0.290928571,0.481471598
RUS,6.036976814,10.12182331,0.931755424,62.54149628,0.744332075,-0.279212117,0.869267285,0.687637925,0.151346922,0.640166044,-0.994013846,-0.53965503,2.033006191,0.336759001,0.399,0.39925,0.343749195
RWA,3.595678329,7.387414455,0.748304188,55.94205856,0.894025266,-0.017352309,0.07800018,0.762844026,0.133609742,,-0.712715983,0.260128468,1.572011948,0.437194824,,0.5055,0.619382441
SAU,6.27837801,10.81894684,0.818419814,63.62934875,0.762251675,-0.09751229,,0.705040038,0.312949479,,-1.083929062,0.105905496,2.549712896,0.406110138,,,0.69700861
SEN,4.394777298,7.704609871,0.855522096,56.94032288,0.692353189,-0.030413957,0.699660003,0.724697053,0.157226577,0.664995909,0.047028355,-0.162449926,1.37446034,0.312748581,,0.402333333,0.391568363
SRB,5.112728596,9.481345177,0.782708704,65.2917099,0.531597257,0.068064809,0.911732435,0.497755259,0.326117814,0.447972029,0.198361039,-0.036461093,2.200608015,0.430417538,,0.3059,0.373830408
SLE,4.499970436,7.433709621,0.868556499,43.19047165,0.681497633,0.04355019,0.786132097,0.570266843,0.334213495,0.587644756,-0.195366412,-0.977949619,2.774423599,0.616542637,,0.371,
SGP,7.062364578,11.29359245,0.822033048,75.53770447,0.834887624,0.135153309,0.132603154,0.841017604,0.180232763,0.843872547,0.543806016,2.078053713,1.428702831,0.20229809,,,0.509949625
SVK,6.1388731,10.21410275,0.924242675,67.71601105,0.634791732,-0.142205775,0.913870215,0.703484714,0.266784608,0.310181499,0.999353647,0.606194675,1.883698821,0.306847662,0.261,0.267454545,0.287741184
SVN,5.678395271,10.25476551,0.908347547,70.94329071,0.887747705,0.044557199,0.909118295,0.619817793,0.290812403,0.176851004,0.960940123,0.848769665,2.046137094,0.360337198,0.257,0.249090909,0.378871739
SOM,5.528272629,,0.610835552,47.09350586,0.873878837,,0.456470013,0.834453702,0.207215205,0.625451207,-2.31531024,-2.144973993,2.604817629,0.471181095,,,0.619422734
ZAF,4.828456402,9.430441856,0.881152213,52.68972397,0.794030964,-0.128491253,0.820258021,0.797623813,0.24335815,0.487997681,0.247864589,0.187507555,2.047690868,0.424088091,,0.6225,0.633955836
KOR,5.801325321,10.41707993,0.737754107,74.04169464,0.623193622,-0.053714354,0.834068358,0.652948856,0.282807708,0.284103513,0.394397378,0.954131842,2.224407673,0.383430958,,0.319,0.434228957
SSD,3.831992388,7.595668793,0.545118451,48.69511795,0.567259312,0.02525798,0.741540551,0.614023983,0.428319663,0.446467072,-2.132232904,-1.7871207,3.043642998,0.794271648,,0.463,0.940946221
ESP,6.456477642,10.34802628,0.947864413,74.09434509,0.738472342,-0.037409976,0.853887916,0.716265917,0.335460007,0.210619807,0.618423641,0.873171568,1.761917591,0.272891462,0.36,0.344545455,0.423291177
LKA,4.267932892,9.273351669,0.804798007,64.83937073,0.867936432,0.291067839,0.790626824,0.842814744,0.186895683,0.772360444,-0.498832494,-0.140314847,1.978820205,0.463648379,,0.39225,0.353270084
SDN,4.138672829,8.340058327,0.81061554,53.82001114,0.3900958,-0.07236103,0.793785036,0.540845037,0.302724987,,-2.049856186,-1.397204399,2.62220645,0.633586287,,0.354,0.455438644
SWE,7.239147663,10.69574738,0.932719827,72.22272491,0.945273399,0.188916102,0.250389993,0.835672259,0.207688317,0.563272059,1.338251948,1.940165281,1.566648722,0.216413423,0.272,0.267454545,0.382445574
CHE,7.492803574,10.95462418,0.958796322,73.17375946,0.949401438,0.047115862,0.283089578,0.822913229,0.188794166,0.75163132,1.481070995,2.016315699,1.524784923,0.203499913,,0.327571429,0.328428507
TJK,4.896157742,7.842475414,0.809826255,62.4943924,0.852732241,0.002124814,0.698430777,0.656046808,0.196153805,0.830833197,-1.094413161,-0.984253764,1.627056718,0.332312971,0.308,0.31875,0.367333591
THA,6.985463619,9.605988503,0.933167398,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.720304966,-0.890584469,-0.007606622,2.000872374,0.286433727,,0.402636364,0.456662297
TGO,2.83895874,7.181850433,0.444339007,51.35891342,0.663193226,-0.080323517,0.79534179,0.582749844,0.442813188,0.47710976,-0.466807753,-0.955069423,1.822799802,0.6420663,,0.437333333,0.625356972
TUN,4.763594627,9.282795906,0.680260599,65.4045639,0.588934243,-0.246644452,0.783134162,0.502727926,0.320770472,0.391600043,-0.329438746,-0.162200704,2.1039505,0.441672862,,0.381,0.39487353
TUR,5.579794407,10.01690006,0.863288283,65.13185883,0.649196088,-0.033587892,0.764013529,0.483358771,0.377324939,0.556478322,-0.712227821,0.155479848,2.391303301,0.428564757,0.412,0.403076923,0.363414019
TKM,5.787379265,9.570275307,0.908927441,59.99171829,0.804678082,0.006943855,,0.695216238,0.153949738,,-1.092476249,-1.3949157,1.976514339,0.341521472,,,0.2731601
UGA,3.769919157,7.400788784,0.821205795,50.85323715,0.834174395,0.022678981,0.897995412,0.680730462,0.396719784,0.57691586,-0.763061464,-0.547478855,2.254937887,0.598139584,,0.43325,0.692854524
UKR,4.297329903,9.017176628,0.876760185,63.16555786,0.533267498,0.101574235,0.926788926,0.594336987,0.248560056,0.242528632,-1.081532598,-0.706851423,1.954745054,0.454874337,0.241,0.266,0.412379056
GBR,6.758147717,10.55194569,0.910247326,71.26724243,0.85703969,0.344311208,0.484118432,0.793992698,0.251140326,0.422672093,0.845568657,1.770141125,1.87745738,0.277806491,0.341,0.342,0.48483628
USA,7.151114464,10.85574341,0.902097046,69.7709198,0.866076887,0.205879509,0.702267468,0.834294438,0.281265348,0.348671198,0.826821387,1.433887959,2.070653915,0.289556801,,0.4068,0.753396153
URY,6.561443806,9.894828796,0.901897848,67.98419189,0.904332876,-0.086900182,0.53349489,0.869248688,0.251498908,0.595346212,1.049871445,0.775582314,2.09660387,0.319533914,0.416,0.4426,0.43732059
UZB,6.049212456,8.588744164,0.952406049,62.7622757,0.954481184,0.057538215,0.536461055,0.804544687,0.106158175,,-1.093180299,-1.16349411,2.071448565,0.342432767,,0.348,0.367700785
VEN,6.136096478,9.725855827,0.903955817,64.45954895,0.569961905,-0.226648971,0.826534986,0.810578346,0.243603572,0.202779502,-0.967883587,-1.589446783,2.258092165,0.368001401,,0.497166667,0.413278311
YEM,3.967957973,8.23398304,0.638252258,54.42792511,0.66390872,-0.172365546,0.885429204,0.610584974,0.275673747,0.344929039,-1.983291149,-1.264090896,2.438402653,0.614523292,0.367,0.357,0.44744733
ZMB,4.345837116,8.197677612,0.706222713,52.19388962,0.811824918,-0.020870663,0.80884099,0.692035198,0.327383965,0.606338799,0.023305662,-0.395448506,2.521534443,0.580218375,,0.5274,0.621956468
ZWE,4.184450626,7.562753201,0.765838981,50.0512352,0.642033815,-0.045884714,0.820217133,0.725213528,0.239110738,0.56620872,-0.985266924,-1.484067082,2.079247952,0.496898681,,0.432,0.601080358
