,Code,Year,Work hours per persons engaged (hours per person engaged)
2460,SGP,1983,2162.295587781549
2461,SGP,1984,2171.1679507222966
2462,SGP,1985,2132.873577256217
2463,SGP,1986,2164.8331180463238
2464,SGP,1987,2193.830686301464
2465,SGP,1988,2206.7588754903572
2466,SGP,1989,2262.127779758129
2467,SGP,1990,2266.3105077099153
2468,SGP,1991,2285.195197568389
2469,SGP,1992,2288.647006678093
2470,SGP,1993,2313.7658474231603
2471,SGP,1994,2328.6279147235173
2472,SGP,1995,2341.342770312448
2473,SGP,1996,2360.9500607164537
2474,SGP,1997,2374.249879564505
2475,SGP,1998,2360.8545786859117
2476,SGP,1999,2381.770159207251
2477,SGP,2000,2399.223463276454
2478,SGP,2001,2379.8590393860536
2479,SGP,2002,2371.950476790213
2480,SGP,2003,2376.615053666048
2481,SGP,2004,2344.5186095348736
2482,SGP,2005,2344.6470198967663
2483,SGP,2006,2336.6124590949
2484,SGP,2007,2316.3574209974536
2485,SGP,2008,2306.21804695427
2486,SGP,2009,2274.0973192470487
2487,SGP,2010,2323.201266736676
2488,SGP,2011,2310.220370193987
2489,SGP,2012,2313.602009344368
2490,SGP,2013,2313.6020161651113
2491,SGP,2014,2262.5291239760354
2492,SVK,1990,1827.6463413575907
2493,SVK,1991,1827.7363343823406
2494,SVK,1992,1827.6793387999992
2495,SVK,1993,1827.8073288796438
2496,SVK,1994,1827.4303580981893
2497,SVK,1995,1853.0483724770904
2498,SVK,1996,1819.6321898926599
2499,SVK,1997,1829.9979801870443
2500,SVK,1998,1821.8607087740165
2501,SVK,1999,1816.2406364547567
2502,SVK,2000,1815.606094278589
2503,SVK,2001,1800.7355721307529
2504,SVK,2002,1754.0740086636151
2505,SVK,2003,1697.5651186379807
2506,SVK,2004,1741.994328048917
2507,SVK,2005,1769.487914749798
2508,SVK,2006,1774.4540163853706
2509,SVK,2007,1791.2010730510758
2510,SVK,2008,1793.3568892013848
2511,SVK,2009,1780.3382414350299
2512,SVK,2010,1805.1501967905167
2513,SVK,2011,1793.0127563611993
2514,SVK,2012,1789.0424227063088
2515,SVK,2013,1771.6140951077662
2516,SVK,2014,1763.2116591323122
2517,SVN,1990,1661.0922757427481
2518,SVN,1991,1655.093880977411
2519,SVN,1992,1633.1321100639273
2520,SVN,1993,1632.3756293942333
