,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)
264,ARM,2011,2.99273390005
265,ARM,2012,3.0099623871200003
266,ARM,2013,3.0258048715400006
267,ARM,2014,3.04643121559
268,ARM,2015,3.0570416489700003
269,ARM,2016,3.0685474959100003
270,,1990,4.860489250580001
271,,1991,4.889347654130001
272,,1992,4.91178351307
273,,1993,4.95027260094
274,,1994,4.97898264716
275,,1995,5.004960559620001
276,,1996,5.00144907176
277,,1997,5.0040848340699995
278,,1998,4.99854463381
279,,1999,4.99840359141
280,,2000,4.994182554569999
281,,2001,5.02488772429
282,,2002,5.0479472735
283,,2003,5.074154094140001
284,,2004,5.09988920254
285,,2005,5.12951177301
286,,2006,5.1158241497
287,,2007,5.1010321575000015
288,,2008,5.08996174862
289,,2009,5.070316731369999
290,,2010,5.05922784315
291,,2011,5.03813490291
292,,2012,5.01531061477
293,,2013,4.990519797219999
294,,2014,4.96903418033
295,,2015,4.94238098784
296,,2016,4.92162711567
297,AUS,1990,4.8681579262499985
298,AUS,1991,4.90097906369
299,AUS,1992,4.926987872030001
300,AUS,1993,4.97167433393
301,AUS,1994,5.00479600075
302,AUS,1995,5.0341169079500006
303,AUS,1996,5.0318694826
304,AUS,1997,5.036223913090001
305,AUS,1998,5.03296876163
306,AUS,1999,5.031761277219999
307,AUS,2000,5.02895075035
308,AUS,2001,5.06463485012
309,AUS,2002,5.09345457931
310,AUS,2003,5.12372619116
311,AUS,2004,5.15370491601
312,AUS,2005,5.19027754302
313,AUS,2006,5.17430910733
314,AUS,2007,5.15688453846
315,AUS,2008,5.14345530656
316,AUS,2009,5.12094364996
317,AUS,2010,5.10772987353
318,AUS,2011,5.08352320638
319,AUS,2012,5.0565753441500005
320,AUS,2013,5.028395742830001
321,AUS,2014,5.00402831195
322,AUS,2015,4.97432207993
323,AUS,2016,4.949713877870002
324,AUT,1990,3.83361539301
325,AUT,1991,3.8340350888
326,AUT,1992,3.8372843693
327,AUT,1993,3.8430487498900003
328,AUT,1994,3.8463843691500004
329,AUT,1995,3.85036574884
330,AUT,1996,3.81823921087
331,AUT,1997,3.7863493846
332,AUT,1998,3.76351362409
333,AUT,1999,3.7272638969
334,AUT,2000,3.6979031664599997
335,AUT,2001,3.67125406953
336,AUT,2002,3.64859446046
337,AUT,2003,3.6268486174000003
338,AUT,2004,3.59978988861
339,AUT,2005,3.5798051873300003
340,AUT,2006,3.5683376487
341,AUT,2007,3.55294304329
342,AUT,2008,3.5425499852199995
343,AUT,2009,3.53294104992
344,AUT,2010,3.51404682383
345,AUT,2011,3.5118098463700003
346,AUT,2012,3.50402541525
347,AUT,2013,3.4997829696199996
348,AUT,2014,3.4917278694
349,AUT,2015,3.48728882242
350,AUT,2016,3.48264779087
351,AZE,1990,2.8704831226999996
352,AZE,1991,2.8562245185500004
353,AZE,1992,2.84257536519
354,AZE,1993,2.83331673666
355,AZE,1994,2.8199509364099997
356,AZE,1995,2.8060545501300003
357,AZE,1996,2.80878658986
358,AZE,1997,2.80615163468
359,AZE,1998,2.81128696217
360,AZE,1999,2.80431415209
361,AZE,2000,2.80816524941
362,AZE,2001,2.81232540319
363,AZE,2002,2.8132605183599995
364,AZE,2003,2.8113205328500004
365,AZE,2004,2.81865480372
366,AZE,2005,2.82122093209
367,AZE,2006,2.81790555394
368,AZE,2007,2.81227416542
369,AZE,2008,2.8098807565099997
370,AZE,2009,2.80840451675
371,AZE,2010,2.8060702576999996
372,AZE,2011,2.81169803044
373,AZE,2012,2.82245720699
374,AZE,2013,2.83318138367
375,AZE,2014,2.83830321658
